raw_location,location_id,location_name
ONE-EYED JACKS BEDROOM,7,ONE-EYED JACK'S
ONE-EYED JACKS ROOM,7,ONE-EYED JACK'S
ONE-EYES JACKS,7,ONE-EYED JACK'S
OPEN GARAGE,43,MISC INSIDE
ORPHANAGE,18,ORPHANAGE
ORPHANAGE OFFICE,18,ORPHANAGE
OWL CAVE,33,OWL CAVE
PACKARD SAW MILL,34,MILL
PALMER BEDROOM,8,PALMER HOUSE
PALMER HOUSE,8,PALMER HOUSE
PALMER HOUSE BEDROOM,8,PALMER HOUSE
PALMER HOUSE CORRIDOR,8,PALMER HOUSE
PALMER HOUSE LIVING ROOM,8,PALMER HOUSE
PALMER HOUSE UPSTAIRS HALLWAY,8,PALMER HOUSE
PALMER LIVING ROOM,8,PALMER HOUSE
PALMER'S HOUSE,8,PALMER HOUSE
PALMER'S LIVING ROOM,8,PALMER HOUSE
PARK,22,WOODS
PARKING LOT,44,MISC OUTSIDE
PAROLE BOARD HEARING ROOM,43,MISC INSIDE
PHONE BOOTH,44,MISC OUTSIDE
POLICE STATION RECEPTION AREA,9,SHERIFF STATION
POLICE VAN,27,CAR IN TRANSIT
PRISON CORRIDOR,9,SHERIFF STATION
REAR OF SHERIFF STATION,9,SHERIFF STATION
RECEPTION,43,MISC INSIDE
RECEPTION AREA,43,MISC INSIDE
RED-DRAPED ROOM,14,BLACK LODGE
RENAULT'S APARTMENT,37,JACQUES RENAULT APT
RENAULT'S APARTMENT BUILDING,37,JACQUES RENAULT APT
RIVERBANK,44,MISC OUTSIDE
ROAD,41,STREET
ROAD IN THE WOODS,22,WOODS
ROAD INTO TWIN PEAKS,44,MISC OUTSIDE
ROADHOUSE,19,ROADHOUSE
ROADHOUSE/STAGE,19,ROADHOUSE
ROADSIDE BAR,19,ROADHOUSE
RONETTE PULASKI'S HOSPITAL ROOM,15,HOSPITAL
ROOM AT ONE-EYED JACKS,7,ONE-EYED JACK'S
SECOND CABIN,43,MISC INSIDE
SHERIFF STATION,9,SHERIFF STATION
SHERIFF STATION CORRIDOR,9,SHERIFF STATION
SHERIFF TRUMAN'S HOUSE,9,SHERIFF STATION
SHERIFF TRUMAN'S OFFICE,9,SHERIFF STATION
SHERIFF'S CONFERENCE ROOM,9,SHERIFF STATION
SHERIFF'S CRUISER,9,SHERIFF STATION
SHERIFF'S DEPARTMENT RECEPTION AREA,9,SHERIFF STATION
SHERIFF'S INTERROGATION ROOM,9,SHERIFF STATION
SHERIFF'S OFFICE,9,SHERIFF STATION
"SHERIFF'S OFFICE, CONFERENCE ROOM",9,SHERIFF STATION
"SHERIFF'S OFFICE, RECEPTION AREA",9,SHERIFF STATION
SHERIFF'S RECEPTION AREA,9,SHERIFF STATION
SHERIFF'S STATION,9,SHERIFF STATION
SHERIFF'S STATION - TRUMAN'S OFFICE,9,SHERIFF STATION
SHERIFF'S STATION BATHROOM,9,SHERIFF STATION
SHERIFF'S STATION CONFERENCE ROOM,9,SHERIFF STATION
SHERIFF'S STATION ENTRANCE,9,SHERIFF STATION
SHERIFF'S STATION HALLWAY,9,SHERIFF STATION
SHERIFF'S STATION HOLDING CELL AREA,9,SHERIFF STATION
SHERIFF'S STATION INTERROGATION,9,SHERIFF STATION
SHERIFF'S STATION RECEPTION,9,SHERIFF STATION
SHERIFF'S STATION RECEPTION AREA,9,SHERIFF STATION
SHERIFF'S STATION RECEPTION/CONFERENCE ROOM,9,SHERIFF STATION
SHERIFF'S STATION WAITING AREA,9,SHERIFF STATION
"SHERIFF'S STATION, INTERROGATION ROOM",9,SHERIFF STATION
"SHERIFF'S STATION, RECEPTION AREA",9,SHERIFF STATION
SHERIFF'S TRUMAN'S OFFICE,9,SHERIFF STATION
SHERIFFS STATION,9,SHERIFF STATION
SHERIFFS STATION RECEPTION AREA,9,SHERIFF STATION
SMALL PLEASANT MOTEL ROOM,17,MOTEL
SMITH'S APARTMENT,6,HAROLD SMITH HOUSE
STATE PRISON,45,PRISON
STREET,41,STREET
STREET LIGHT,44,MISC OUTSIDE
THE BLUE PINE LODGE,1,BLUE PINE LODGE
THE BOOKHOUSE,20,BOOKHOUSE
THE CEMETERY,46,CEMETERY
"THE DOUBLE ""R"" DINER",3,DOUBLE R
THE DOUBLE R DINER,3,DOUBLE R
THE GREAT NORTHERN HOTEL,5,GREAT NORTHERN
THE HIGH RIDGE,44,MISC OUTSIDE
THE LYDEKER CLINIC,43,MISC INSIDE
THE ROADHOUSE,19,ROADHOUSE
THE TWIN PEAKS ECONO SHOPPER,43,MISC INSIDE
"THE WOODS, GLASTONBURY GROVE",30,GLASTONBURY GROVE
TIMBER ROOM,5,GREAT NORTHERN
TIMBER ROOM ENTRANCE,17,MOTEL
TIMER FALLS MOTEL,17,MOTEL
TRAIN BRIDGE,44,MISC OUTSIDE
TRAIN CAR,43,MISC INSIDE
TREMOND APARTMENT,23,TREMOND HOUSE
TRUCK IN MOTION,27,CAR IN TRANSIT
TRUMAN'S CABIN,28,TRUMAN HOUSE
TRUMAN'S OFFICE,9,SHERIFF STATION
TWIN PEAKS BANK,24,BANK
TWIN PEAKS CITY LIBRARY,26,LIBRARY
TWIN PEAKS HIGH SCHOOL,12,HIGH SCHOOL
